1 s a t u
2 d u a 
3 t i g a
4 ə m p a t
5 l i m a
6 ə n a m
7 t u d ʒ u h
8 d ə l a p a n
9 s ə m b i l a n
10 s ə p u l u h
11 s ə b ə l a s
21 d u a p u l u h s a t u
29 d u a p u l u h s ə m b i l a n
30 t i g a p u l u h
100 s ə r a t u s
15 l i m a b ə l a s
1879 d ə l a p a n b ə l a s t u d ʒ u h p u l u h s ə m b i l a n
aba	a b a 
aba-aba	a b a a b a 
ab	a b 
ab’ad	a b ʔ a d 
abad	a b a d 
abadi	a b a d i 
abadiah	a b a d i a h 
abadikan	a b a d i k a n 
a’bah	a ʔ b a h 
abah	a b a h 
abai	a b a i 
abaian	a b a i a n 
abaikan	a b a i k a n 
abaimana	a b a i m a n a 
abaka	a b a k a 
abakus	a b a k u s 
abang	a b a ŋ 
abangan	a b a ŋ a n 
abangnya	a b a ŋ ɲ a 
abar	a b a r 
abaran	a b a r a n 
abatoar	a b a t o a r 
abau	a b a u 
abdas	a b d a s 
abdi	a b d i 
abdikasi	a b d i k a s i 
abdomén	a b d o m e n 
abdominal	a b d o m i n a l 
abdu	a b d u 
abécé	a b e t ʃ e 
abén	a b e n 
aberasi	a b ə r a s i 
abet	a b ə t 
abian	a b i a n 
abid	a b i d 
abidin	a b i d i n 
abilah	a b i l a h 
abis	a b i s 
abisal	a b i s a l 
abiturién	a b i t u r i e n 
abjad	a b d ʒ a d 
abjadiah	a b d ʒ a d i a h 
ablasi	a b l a s i 
ablaut	a b l a u t 
abnormal	a b n o r m a l 
abnormalitas	a b n o r m a l i t a s 
abnus	a b n u s 
aboi	a b o i 
abolisi	a b o l i s i 
abon	a b o n 
abonemén	a b o n ə m e n 
aborsi	a b o r s i 
abortus	a b o r t u s 
abrak	a b r a ʔ 
abrakadabra	a b r a k a d a b r a 
abrar	a b r a r 
abras	a b r a s 
abrasi	a b r a s i 
abréaksi	a b r e a ʔ s i 
abrek	a b r ə ʔ 
abréviasi	a b r e v i a s i 
abrik	a b r i ʔ 
abrikos	a b r i k o s 
absah	a b s a h 
absén	a b s e n 
absénsi	a b s e n s i 
abséntéisme	a b s e n t e i s m ə 
absés	a b s e s 
absis	a b s i s 
absolusi	a b s o l u s i 
absolut	a b s o l u t 
absolutisme	a b s o l u t i s m ə 
absorbén	a b s o r b e n 
absorpsi	a b s o r p s i 
absorptif	a b s o r p t i f 
abstain	a b s t a i n 
abstrak	a b s t r a ʔ 
abstraksi	a b s t r a ʔ s i 
absurd	a b s u r d 
abtar	a b t a r 
abu	a b u 
abuan	a b u a n 
abuh	a b u h 
abuhan	a b u h a n 
abuk	a b u ʔ 
abul	a b u l 
abulhayat	a b u l h a j a t 
abun	a b u n 
abur	a b u r 
abus	a b u s 
acah	a t ʃ a h 
acak	a t ʃ a ʔ 
acan	a t ʃ a n 
acang	a t ʃ a ŋ 
acap	a t ʃ a p 
acara	a t ʃ a r a 
acaram	a t ʃ a r a m 
acar	a t ʃ a r 
acatan	a t ʃ a t a n 
acat	a t ʃ a t 
acau	a t ʃ a u 
acawi	a t ʃ a w i 
acerang	a t ʃ ə r a ŋ 
acian	a t ʃ i a n 
aci	a t ʃ i 
acik	a t ʃ i ʔ 
aco	a t ʃ o 
acuan	a t ʃ u a n 
acu	a t ʃ u 
acuhan	a t ʃ u h a n 
acuh	a t ʃ u h 
acuman	a t ʃ u m a n 
acum	a t ʃ u m 
acung	a t ʃ u ŋ 
acungkan	a t ʃ u ŋ k a n 
ada	a d a  
ada	a d a 
adaan	a d a ʔ a n 
adab	a d a b 
adad	a d a d 
adagio	a d a g i o 
adagium	a d a g i u m 
adakah	a d a k a h 
adakala	a d a k a l a 
adakan	a d a k a n 
adalah	a d a l a h 
adalat	a d a l a t 
adam	a d a m 
adang	a d a ŋ 
adanya	a d a ɲ a 
adap	a d a p 
adaptasi	a d a p t a s i 
adaptif	a d a p t i f 
adaptor	a d a p t o r 
adapun	a d a p u n 
adar	a d a r 
adas	a d a s 
